observable,n_particles_1d,power_law_exponent,prefactor
mean_absolute_spin,10,-0.2314991946546962,0.15384385703693565
mean_absolute_spin,20,-0.24602204776047848,0.08029276304210567
mean_absolute_spin,50,-0.23640308722621461,0.03392913996295307
magnetic_susceptibility_per_spin,10,-0.6672657902695803,0.2723202270473669
magnetic_susceptibility_per_spin,20,-0.732627578455686,0.32509601996834536
magnetic_susceptibility_per_spin,50,-0.7412298633750141,0.40579295569396145
specific_heat_per_spin,10,-0.6897199018175222,0.1038590474009337
specific_heat_per_spin,20,-0.6928176724507199,0.1034826748130728
specific_heat_per_spin,50,-0.7076046679620265,0.10756468745672058
mean_vortex_density,10,0.2050407355952629,0.19850225956144582
mean_vortex_density,20,0.19749992085084925,0.20375019295276967
mean_vortex_density,50,0.1972218262101875,0.2043713948076849
tau,10,-0.4803142890096116,2.7205661054902364
tau,20,-0.5635042614939713,3.010217862535659
tau,50,-0.5269694384829542,3.8679063380315735
